Project_ID,Project_Name,Project_Type,City,State,Region,Client_Type,Contract_Type,Delivery_Method,Complexity_Level,Digital_Coordination_Level,Owner_Decision_Profile,Original_Budget,Original_Contingency,Planned_Start_Date,Planned_End_Date,Actual_Start_Date,Forecast_End_Date,Project_Status,Current_Phase,Project_Manager_ID,Design_Manager_ID,Change_Manager_ID
PRJ-001,Red Rock Town Center,Mixed-Use,Scottsdale,AZ,Southwest,Private Developer,Cost Plus,CMAR,Low,Moderate,Standard,330355000,16476000,2024-04-10,2025-04-10,2024-04-01,2025-04-23,Completed,Closeout,PM-015,DM-008,CM-001
PRJ-002,Northstar Bridge Rehabilitation,Heavy Civil & Infrastructure,Sacramento,CA,West,Institutional Owner,Cost Plus,Design-Build,Very High,Moderate,Fast,245471000,29457000,2022-02-11,2024-07-12,2022-02-27,2024-07-18,Completed,Closeout,PM-005,DM-016,CM-002
PRJ-003,Aspen Civic Complex,Institutional,Salem,OR,Pacific Northwest,Corporate Owner,Unit Price,Design-Build,Moderate,High,Standard,45069000,3949000,2022-02-24,2023-11-25,2022-02-16,2023-12-02,Completed,Closeout,PM-012,DM-015,CM-012
PRJ-004,Silver Creek Urban Village,Mixed-Use,Dallas,TX,South,Private Developer,Unit Price,Design-Bid-Build,Low,High,Standard,103276000,4119000,2024-05-01,2026-03-01,2024-04-26,2026-03-01,Active,Commissioning,PM-008,DM-008,CM-006
PRJ-005,Red Rock Civic Complex,Institutional,Las Cruces,NM,Southwest,Public Agency,Design-Build Agreement,IPD,Low,Moderate,Slow,85679000,2999000,2023-09-12,2027-03-13,2023-08-29,2027-03-24,Active,Construction,PM-023,DM-003,CM-005
PRJ-006,Summit Corporate Center,Commercial,Tacoma,WA,Pacific Northwest,Institutional Owner,Guaranteed Maximum Price,Design-Build,Moderate,Moderate,Slow,106705000,8817000,2022-02-25,2024-12-25,2022-03-09,2024-12-26,Completed,Closeout,PM-008,DM-016,CM-005
PRJ-007,Canyon Medical Pavilion,Institutional,Salt Lake City,UT,Mountain,Public Agency,Design-Build Agreement,Design-Build,High,Moderate,Standard,43072000,4783000,2024-05-16,2026-05-16,2024-05-19,2026-05-22,Active,Construction,PM-010,DM-004,CM-008
PRJ-008,Sunset Processing Plant,Industrial,Riverside,CA,West,Institutional Owner,Lump Sum,IPD,Very High,Moderate,Slow,93076000,8390000,2021-09-24,2024-08-24,2021-10-03,2024-09-22,Completed,Closeout,PM-016,DM-011,CM-009
PRJ-009,Granite Office Campus,Commercial,Riverside,CA,West,Private Developer,Lump Sum,Design-Build,Moderate,High,Standard,15695000,1379000,2022-04-20,2024-04-19,2022-04-27,2024-04-25,Completed,Closeout,PM-009,DM-001,CM-008
PRJ-010,Canyon Neighborhood,Residential,Albuquerque,NM,Southwest,Institutional Owner,Lump Sum,Design-Build,High,High,Standard,35406000,2741000,2021-09-04,2024-04-04,2021-08-21,2024-04-13,Completed,Closeout,PM-013,DM-003,CM-005
PRJ-011,Aspen Retail Pavilion,Commercial,Fort Worth,TX,South,Private Developer,Cost Plus,Design-Build,Moderate,Moderate,Standard,46836000,3167000,2021-09-29,2024-03-30,2021-10-04,2024-04-14,Completed,Closeout,PM-023,DM-001,CM-007
PRJ-012,Canyon Corporate Center,Commercial,Ogden,UT,Mountain,Private Developer,Guaranteed Maximum Price,CMAR,Very High,Low,Standard,30602000,2218000,2024-05-02,2026-09-01,2024-05-29,2026-09-04,Active,Construction,PM-012,DM-006,CM-007
PRJ-013,Aspen Civic Complex 2,Institutional,Scottsdale,AZ,Southwest,Private Developer,Design-Build Agreement,Design-Build,Moderate,Moderate,Standard,216138000,10640000,2021-08-19,2024-06-18,2021-08-24,2024-06-26,Completed,Closeout,PM-001,DM-015,CM-011
PRJ-014,Riverbend Retail Pavilion,Commercial,St. George,UT,Mountain,Private Developer,Unit Price,Design-Bid-Build,Moderate,Moderate,Standard,104424000,8636000,2023-08-12,2026-02-10,2023-08-19,2026-02-22,Substantially Complete,Commissioning,PM-009,DM-007,CM-011
PRJ-015,Evergreen Retail Pavilion,Commercial,Las Cruces,NM,Southwest,Institutional Owner,Guaranteed Maximum Price,CMAR,Moderate,Moderate,Fast,16767000,1174000,2024-03-28,2027-06-28,2024-04-07,2027-07-01,Active,Construction,PM-019,DM-011,CM-011
PRJ-016,Evergreen Town Center,Mixed-Use,Houston,TX,South,Corporate Owner,Design-Build Agreement,Design-Build,High,Moderate,Slow,191391000,16117000,2021-09-07,2024-11-06,2021-09-12,2024-11-03,Completed,Closeout,PM-002,DM-011,CM-005
