Quarantine_ID,Table,Record_ID,Reason,Source_Issue,Raw_Record_JSON
Q-0001,RFI Log,RFI-01941,Project_ID PRJ-999 does not exist in Projects,Invalid foreign key,"{""Actual_Cost_Impact"": ""0"", ""Actual_Schedule_Days"": ""0"", ""Closed_Date"": """", ""Cost_Impact_Flag"": ""No"", ""Discipline"": ""General"", ""Drawing_Reference_Count"": ""2"", ""Estimated_Cost_Impact"": ""0"", ""Estimated_Schedule_Days"": ""0"", ""Field_Work_Affected"": ""No"", ""Final_Response_Date"": ""2024-03-16"", ""First_Response_Date"": ""2024-03-15"", ""Priority"": ""Medium"", ""Project_ID"": ""PRJ-999"", ""RFI_ID"": ""RFI-01941"", ""RFI_Number"": ""RFI-0002"", ""RFI_Status"": ""Answered"", ""RFI_Title"": ""General Design Clarification - Area A11"", ""RFI_Type"": ""Design Clarification"", ""Reopen_Count"": ""0"", ""Required_Response_Date"": ""2024-03-17"", ""Response_Quality_Rating"": ""5"", ""Responsible_Role"": ""Construction Manager"", ""Revision_Count"": ""1"", ""Schedule_Impact_Flag"": ""No"", ""Submitted_By_Role"": ""Subcontractor"", ""Submitted_Date"": ""2024-03-07""}"
Q-0002,RFI Log,RFI-01963,Project_ID PRJ-999 does not exist in Projects,Invalid foreign key,"{""Actual_Cost_Impact"": ""0"", ""Actual_Schedule_Days"": ""0"", ""Closed_Date"": ""2024-02-22"", ""Cost_Impact_Flag"": ""No"", ""Discipline"": ""Controls"", ""Drawing_Reference_Count"": ""5"", ""Estimated_Cost_Impact"": ""0"", ""Estimated_Schedule_Days"": ""0"", ""Field_Work_Affected"": ""No"", ""Final_Response_Date"": ""2024-02-22"", ""First_Response_Date"": ""2024-02-21"", ""Priority"": ""High"", ""Project_ID"": ""PRJ-999"", ""RFI_ID"": ""RFI-01963"", ""RFI_Number"": ""RFI-0024"", ""RFI_Status"": ""Closed"", ""RFI_Title"": ""Controls Substitution Request - Area C2"", ""RFI_Type"": ""Substitution Request"", ""Reopen_Count"": ""0"", ""Required_Response_Date"": ""2024-02-11"", ""Response_Quality_Rating"": ""4"", ""Responsible_Role"": ""Engineer"", ""Revision_Count"": ""1"", ""Schedule_Impact_Flag"": ""No"", ""Submitted_By_Role"": ""General Contractor"", ""Submitted_Date"": ""2024-02-04""}"
Q-0003,Change Orders,CO-00861,Project_ID PRJ-998 does not exist in Projects,Invalid foreign key,"{""Approved_Date"": ""2023-05-25"", ""Approved_Schedule_Days"": ""0"", ""Approved_Value"": ""161000"", ""Authorization_Type"": ""Owner Authorization"", ""Change_Category"": ""Owner-Directed Change"", ""Change_Number"": ""CO-010"", ""Change_Order_ID"": ""CO-00861"", ""Change_Status"": ""Approved"", ""Change_Title"": ""Owner-Directed Change - Mechanical Area C6"", ""Change_Type"": ""Additive"", ""Closed_Date"": ""2023-06-03"", ""Cost_Code_Group"": ""Metals"", ""Discipline"": ""Mechanical"", ""First_Decision_Date"": ""2023-04-21"", ""Forecast_Incorporated_Date"": ""2023-06-01"", ""Identified_Date"": ""2023-03-21"", ""Initiating_Party"": ""Owner"", ""Negotiated_Value"": ""165000"", ""Originating_Source"": ""Owner Request"", ""Pricing_Status"": ""Final"", ""Project_ID"": ""PRJ-998"", ""Requested_Schedule_Days"": ""0"", ""Required_Decision_Date"": ""2023-04-18"", ""Revision_Count"": ""2"", ""Submitted_Date"": ""2023-03-29"", ""Submitted_Value"": ""177000""}"
Q-0004,Workflow Events,EVT-004340,Item_ID RFI-01941 was quarantined or does not exist,Cascading referential integrity,"{""Action_By_Role"": ""Subcontractor"", ""Assigned_To_Role"": ""Construction Manager"", ""Comment_Category"": ""Initial submission"", ""Decision_Required_Flag"": ""Yes"", ""Event_Action"": ""Submit"", ""Event_ID"": ""EVT-004340"", ""Event_Sequence"": ""1"", ""Event_Timestamp"": ""2024-03-07T08:00"", ""From_Status"": """", ""Item_ID"": ""RFI-01941"", ""Item_Type"": ""RFI"", ""Project_ID"": ""PRJ-052"", ""Revision_Number"": ""0"", ""To_Status"": ""Submitted""}"
Q-0005,Workflow Events,EVT-004341,Item_ID RFI-01941 was quarantined or does not exist,Cascading referential integrity,"{""Action_By_Role"": ""Construction Manager"", ""Assigned_To_Role"": ""Subcontractor"", ""Comment_Category"": ""Insufficient information"", ""Decision_Required_Flag"": ""Yes"", ""Event_Action"": ""Return"", ""Event_ID"": ""EVT-004341"", ""Event_Sequence"": ""2"", ""Event_Timestamp"": ""2024-03-10T13:00"", ""From_Status"": ""Submitted"", ""Item_ID"": ""RFI-01941"", ""Item_Type"": ""RFI"", ""Project_ID"": ""PRJ-052"", ""Revision_Number"": ""1"", ""To_Status"": ""Returned for Clarification""}"
Q-0006,Workflow Events,EVT-004342,Item_ID RFI-01941 was quarantined or does not exist,Cascading referential integrity,"{""Action_By_Role"": ""Construction Manager"", ""Assigned_To_Role"": ""Subcontractor"", ""Comment_Category"": ""Final response"", ""Decision_Required_Flag"": ""No"", ""Event_Action"": ""Respond"", ""Event_ID"": ""EVT-004342"", ""Event_Sequence"": ""3"", ""Event_Timestamp"": ""2024-03-16T15:00"", ""From_Status"": ""Returned for Clarification"", ""Item_ID"": ""RFI-01941"", ""Item_Type"": ""RFI"", ""Project_ID"": ""PRJ-052"", ""Revision_Number"": ""1"", ""To_Status"": ""Answered""}"
Q-0007,Workflow Events,EVT-004389,Item_ID RFI-01963 was quarantined or does not exist,Cascading referential integrity,"{""Action_By_Role"": ""General Contractor"", ""Assigned_To_Role"": ""Engineer"", ""Comment_Category"": ""Initial submission"", ""Decision_Required_Flag"": ""Yes"", ""Event_Action"": ""Submit"", ""Event_ID"": ""EVT-004389"", ""Event_Sequence"": ""1"", ""Event_Timestamp"": ""2024-02-04T08:00"", ""From_Status"": """", ""Item_ID"": ""RFI-01963"", ""Item_Type"": ""RFI"", ""Project_ID"": ""PRJ-052"", ""Revision_Number"": ""0"", ""To_Status"": ""Submitted""}"
Q-0008,Workflow Events,EVT-004390,Item_ID RFI-01963 was quarantined or does not exist,Cascading referential integrity,"{""Action_By_Role"": ""Engineer"", ""Assigned_To_Role"": ""General Contractor"", ""Comment_Category"": ""Insufficient information"", ""Decision_Required_Flag"": ""Yes"", ""Event_Action"": ""Return"", ""Event_ID"": ""EVT-004390"", ""Event_Sequence"": ""2"", ""Event_Timestamp"": ""2024-02-16T13:00"", ""From_Status"": ""Submitted"", ""Item_ID"": ""RFI-01963"", ""Item_Type"": ""RFI"", ""Project_ID"": ""PRJ-052"", ""Revision_Number"": ""1"", ""To_Status"": ""Returned for Clarification""}"
Q-0009,Workflow Events,EVT-004391,Item_ID RFI-01963 was quarantined or does not exist,Cascading referential integrity,"{""Action_By_Role"": ""Engineer"", ""Assigned_To_Role"": ""General Contractor"", ""Comment_Category"": ""Final response"", ""Decision_Required_Flag"": ""No"", ""Event_Action"": ""Respond and close"", ""Event_ID"": ""EVT-004391"", ""Event_Sequence"": ""3"", ""Event_Timestamp"": ""2024-02-22T15:00"", ""From_Status"": ""Returned for Clarification"", ""Item_ID"": ""RFI-01963"", ""Item_Type"": ""RFI"", ""Project_ID"": ""PRJ-052"", ""Revision_Number"": ""1"", ""To_Status"": ""Closed""}"
Q-0010,Workflow Events,EVT-008070,Project_ID PRJ-997 does not exist in Projects,Invalid foreign key,"{""Action_By_Role"": ""Cost Manager"", ""Assigned_To_Role"": ""Owner Representative"", ""Comment_Category"": ""Commercial submission"", ""Decision_Required_Flag"": ""Yes"", ""Event_Action"": ""Submit pricing"", ""Event_ID"": ""EVT-008070"", ""Event_Sequence"": ""2"", ""Event_Timestamp"": ""2023-07-27T10:00"", ""From_Status"": ""Identified"", ""Item_ID"": ""CO-00185"", ""Item_Type"": ""Change Order"", ""Project_ID"": ""PRJ-997"", ""Revision_Number"": ""0"", ""To_Status"": ""Submitted""}"
